BSEN10010,Biosystems Engineering Design Challenge
BSEN20010,Engineering and Surveying
BSEN20040,Biosystems Engineering Research Trends
BSEN20060,Food Physics
BSEN20150,Agricultural Engineering Principles
BSEN20170,Applied Programming for Agricultural Technology
BSEN30010,Bioprocess Engineering Principles
BSEN30020,Buildings and Environment
BSEN30030,Air Pollution
BSEN30060,Quantitative Risk Assessment for Human and Animal Health
BSEN30170,Agricultural Mechanisation: Engines and Crop Machinery
BSEN30190,Agricultural Mechanisation: Hydraulics and components
BSEN30210,Precision Agriculture
BSEN30240,Waste Management
BSEN30280,Water and Wastewater Engineering
BSEN30310,"The Bioeconomy; A strategy for sustainable fuel, material and chemical production"
BSEN30320,Food Process Engineering
BSEN30360,Life Cycle Assessment
BSEN30390,Experimental Project
BSEN30400,Experimental Project (Short)
BSEN30510,Professional Work Experience
BSEN30520,Sensors and Sensing Systems
BSEN30530,Numerical Methods for Agricult
BSEN30540,Bioeconomy Feedstocks O/L
BSEN30550,Engineering Research Project
BSEN40020,Advanced Food Process Engineering
BSEN40090,Thesis
BSEN40110,Advanced Air Pollution
BSEN40210,Green Technologies Project
BSEN40230,ME Professional Work Experience
BSEN40250,Global Cold Chain Safety
BSEN40320,Waste to Energy Processes & Technologies
BSEN40350,Renewable Energy Systems Analysis
BSEN40400,LCA Applications
BSEN40410,Food Chain Integrity
BSEN40420,Advanced Risk Assessment
BSEN40440,Food Refrigeration Engineering
BSEN40460,Research and Teaching Methods
BSEN40470,Predictive Modelling and Risk Assessment
BSEN40480,Sustainable Energy & Environment
BSEN40490,Developments in Food Safety
BSEN40500,Hyperspectral imaging 
BSEN40510,Precision Livestock Management
BSEN40520,Optical Sensing Technology
BSEN40550,Capstone Project 2
BSEN40560,Biorefinery Process & Tech
BSEN40570,Capstone Project 1
BSEN40580,ME Professional Work Experienc
BSEN40590,Unit Ops for Bioprocess Eng
BSEN40600,Bioeconomy Research Project 1
BSEN40610,Bioeconomy Research Project 2
BSEN40620,Biorefinery Process & Tech O/L
BSEN40640,Conv Valorisation Technol O/L
BSEN40660,Biobased Value Chains
BSEN40690,Research Skills
BSEN40700,Energy System & Sustainable Environments
BSEN40710,ME Biosystems Engineering Thesis
BSEN40720,Carbon & Sustainability
BSEN40730,Innovative Food Proc & Tech
BSEN40740,Soil Technology
BSEN40760,Computers & Electronics in Ag
BSEN40780,Remote Sensing and GIS
BSEN40790,Carbon & Sustainability
BSEN40800,Industry Project
BSEN40810,GHG Accounting
