CHEN10010,Chemical Engineering Process Principles
CHEN10040,Intro. to Eng. Computing
CHEN20020,Chemical & Bioprocess Engineering Measurement
CHEN20030,Chemical Engineering Thermodynamics & Kinetics
CHEN20050,Bioprocess Engineering Principles
CHEN20060,Transport Phenomena
CHEN20070,Computers in Chemical & Bioprocess Engineering
CHEN20080,Chemical & Bioprocess Engineering Laboratory 1
CHEN20090,Biotechnology Principles
CHEN30010,Chemical & Bioprocess Reaction Engineering
CHEN30020,Unit Operations
CHEN30030,Chemical & Bioprocess Engineering Thermodynamics
CHEN30040,Commercial Pharmaceutical & Bioprocessing Technology
CHEN30130,Heat Transfer and Fluid Mechanics
CHEN30150,Chemical & Bioprocess Engineering Design
CHEN30200,Chem & Bioprocess Eng Design
CHEN30210,Chem & Bioprocess Eng Lab 2
CHEN30240,Biochemical Engineering Lab 1
CHEN30250,Biochemical Engineering Lab 2
CHEN40010,Environmental Engineering
CHEN40020,Principles of Biopharmaceutical Engineering (FT)
CHEN40040,Animal Cell Culture Technology (FT)
CHEN40060,Bioreactor Modelling and Control
CHEN40090,Bioprocessing Laboratory
CHEN40110,Facility Design and Operation
CHEN40120,Biopharmaceutical Industry Regulation and Management
CHEN40130,Bioprocess Scale-up and Technology Transfer
CHEN40140,Biopharmaceutical Engineering Project
CHEN40150,Advanced Separation Processes
CHEN40160,Advanced Heat Transfer and Fluid Mechanics
CHEN40200,Chemical & Bioprocess Engineering Research Project
CHEN40210,Advanced Experimental Design
CHEN40440,Chem Proc Sust & Ren Energy
CHEN40450,Chemical Engineering Project
CHEN40460,Downstream Processing
CHEN40470,Cell Culture & Tissue Eng
CHEN40480,Lean Sigma Biopharma Process
CHEN40490,Teaching Assistant in CBE
CHEN40510,Advanced Characterisation Tech
CHEN40530,Bioprocess Design
CHEN40540,CBE Research Methods
CHEN40550,CBE Work Placement 2
CHEN40560,Process Control
CHEN40570,Chemical & Bioproc Systems Eng
CHEN40580,CBE Work Placement 1
CHEN40590,ME CBE Research Project
CHEN40610,Applied Chemistry: Selected Frontier areas
CHEN40620,Advanced Process Design
CHEN40630,Bioanalytical Science for Biopharma
CHEN40640,Commissioning & Qualification
CHEN40650,Research Methodologies
CHEN40660,CBE Business Plan
CHEN40670,Biotechnology & Biopharma
CHEN40680,CBE Work Placement Log Book
CHEN40690,CBE Work Placement Knowledge
CHEN40700,Adv. CBE Work Place. Knowledge
CHEN40710,Downstream Processing & Sterile Fill Finish (PT)
CHEN40720,Principles of Biopharmaceutical Engineering (PT)
CHEN40730,Animal Cell Culture Technology (PT)
CHEN40740,CBE Work Placement I
CHEN40750,CBE Work Placement II
CHEN40760,Research Methods in CBE
CHEN40770,Data Sci for Biopharm Manufact
CHEN40790,Bio-material Interactions
CHEN40810,Nanomaterials
CHEN50050,Research Seminar Series II
CHEN50060,Industrial Research Placement
