,0
DSCY10060,"Energy, Climate Change & Policy"
EEEN10010,Electronic and Electrical Engineering I
EEEN10020,Robotics Design Project
EEEN20010,Computer Engineering
EEEN20020,Electrical and Electronic Circuits
EEEN20030,Electromagnetic Fields
EEEN20040,Electronic Circuits
EEEN20050,Digital Electronics: from gate to system
EEEN20060,Communication Systems
EEEN20070,Solid State Devices
EEEN20090,Electrical Energy Systems
EEEN30020,Circuit Theory
EEEN30030,Electromagnetic Waves
EEEN30050,Signal Processing: Theory and Applications
EEEN30060,Communication Theory
EEEN30070,Power System Engineering
EEEN30090,Electrical Machines
EEEN30110,Signals and Systems
EEEN30120,Analogue Electronics
EEEN30150,Modelling and Simulation
EEEN30160,Biomedical Signal Processing
EEEN30180,Bioinstrumentation
EEEN30190,Digital System Design
EEEN30220,Prof Eng Project (Electrical)
EEEN30230,Professional Engineering Project (Electronic)
EEEN30240,Professional Biomed Project
EEEN30250,Electrical Machines for Mechanical Engineers
EEEN30260,Introduction to Wireless Systems
EEEN40010,Control Theory
EEEN40050,Wireless Systems
EEEN40060,Digital Communications
EEEN40070,Neural Engineering
EEEN40080,Power System Operation
EEEN40090,Power System Design
EEEN40100,Power Electronics and Drives
EEEN40110,Renewable Energy Systems
EEEN40120,Applications of Power Electronics
EEEN40130,Advanced Signal Processing
EEEN40150,Radio-Frequency Electronics
EEEN40160,ME Biomed Prof Work Exp Short
EEEN40170,ME Biomed Prof. Work Exp. Long
EEEN40180,ME Electrical Power Professional Work Experience (short)
EEEN40190,ME Electrical Power Professional Work Experience (long)
EEEN40200,ME Prof. Work Exp. (Short)
EEEN40210,ME Prof. Work Exp. (Long)
EEEN40220,ME Biomed Project
EEEN40240,ME Elec&Comp Eng Project
EEEN40260,ME Electrical Project
EEEN40280,Digital & Embedded Systems
EEEN40290,MEngSc Project
EEEN40300,Entrepreneurship in Engineering
EEEN40310,Power Electronics Technology 
EEEN40350,Rehabilitation Engineering
EEEN40360,ME Elect Energy Project
EEEN40550,Power System Dynamics and Control
EEEN40570,Analogue Integrated Circuits
EEEN40580,Optimisation Techniques for Engineers
EEEN40600,Mixed-Signal Integrated Circuits
EEEN40620,Biomedical Imaging
EEEN40660,Experimental Design and Statistics for Engineers
EEEN40680,Intro. to Quantum Computing
EEEN40690,Quantum Computing
EEEN40700,MEngSc Electrical Project
EEEN40710,Engineering Research Skills & Pedagogy
EEEN40720,Machine Learning for Engineers
EEEN50070,Industrial Research I
EEEN50080,Industrial Research II
EEEN50090,Industrial Research III 
EEEN50100,Stability Analysis of Nonlinear Systems
EEEN50110,Power System Optimisation
